id,sd,note,group_name,year,trait,subcategory,mr,author,build,category,consortium,pmid,nsnp,population,sex,ontology,unit,priority,sample_size,ncase,ncontrol
ubm-a-691,,,public,2018.0,IDP dMRI ProbtrackX MO cst r,Psychiatric / neurological,1,Elliott LT,HG19/GRCh37,Continuous,,30305740.0,11734354,European,Males,,,0,7532.0,,
prot-a-717,,,public,2018.0,Lysosomal protective protein,Protein,1,Sun BB,HG19/GRCh37,Immune system,,29875488.0,10534735,European,Males and Females,,,0,3301.0,,
ukb-b-3018,,40007: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,2018.0,Age at death,,1,Ben Elsworth,HG19/GRCh37,Continuous,MRC-IEU,,9851867,European,Males and Females,,SD,1,11856.0,,
prot-a-63,,,public,2018.0,"Apoptosis-inducing factor 1, mitochondrial",Protein,1,Sun BB,HG19/GRCh37,Immune system,,29875488.0,10534735,European,Males and Females,,,0,3301.0,,
ukb-b-2535,,2296: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,2018.0,Falls in the last year,,1,Ben Elsworth,HG19/GRCh37,Categorical Ordered,MRC-IEU,,9851867,European,Males and Females,,SD,1,461725.0,,
prot-a-3096,,,public,2018.0,TNF receptor-associated factor 4,Protein,1,Sun BB,HG19/GRCh37,Immune system,,29875488.0,10534735,European,Males and Females,,,0,3301.0,,
ukb-d-PULMONARYDG,,,public,2018.0,Other pulmonary diagnosis,,1,Neale lab,HG19/GRCh37,Binary,,,13586589,European,Males and Females,,,0,361194.0,25381.0,335813.0
prot-a-1455,,,public,2018.0,IGF-like family receptor 1,Protein,1,Sun BB,HG19/GRCh37,Immune system,,29875488.0,10534735,European,Males and Females,,,0,3301.0,,
ukb-b-4650,,1687: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,2018.0,Comparative body size at age 10,,1,Ben Elsworth,HG19/GRCh37,Categorical Ordered,MRC-IEU,,9851867,European,Males and Females,,SD,1,454718.0,,
prot-a-2878,,,public,2018.0,Serine/threonine-protein kinase 17B,Protein,1,Sun BB,HG19/GRCh37,Immune system,,29875488.0,10534735,European,Males and Females,,,0,3301.0,,
prot-a-2987,,,public,2018.0,Talin-2,Protein,1,Sun BB,HG19/GRCh37,Immune system,,29875488.0,10534735,European,Males and Females,,,0,3301.0,,
ukb-b-2469,,41200#P273: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,2018.0,Operative procedures - main OPCS: P27.3 Colposcopy of vagina,,1,Ben Elsworth,HG19/GRCh37,Binary,MRC-IEU,,9851867,European,Males and Females,,SD,1,463010.0,1391.0,461619.0
ubm-a-989,,,public,2018.0,NET25 0043,Psychiatric / neurological,1,Elliott LT,HG19/GRCh37,Continuous,,30305740.0,11734354,European,Males,,,0,7916.0,,
ukb-b-4080,,3143: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,2018.0,Ankle spacing width,,1,Ben Elsworth,HG19/GRCh37,Continuous,MRC-IEU,,9851867,European,Males and Females,,SD,1,265753.0,,
ubm-a-863,,,public,2018.0,IDP dMRI ProbtrackX ISOVF ptr l,Psychiatric / neurological,1,Elliott LT,HG19/GRCh37,Continuous,,30305740.0,11734354,European,Males,,,0,7532.0,,
ubm-a-543,,,public,2018.0,IDP dMRI TBSS OD Inferior cerebellar peduncle L,Psychiatric / neurological,1,Elliott LT,HG19/GRCh37,Continuous,,30305740.0,11734354,European,Males,,,0,7532.0,,
ubm-a-2179,,,public,2018.0,NET100 1023,Psychiatric / neurological,1,Elliott LT,HG19/GRCh37,Continuous,,30305740.0,11734354,European,Males,,,0,7916.0,,
prot-a-98,,,public,2018.0,Angiopoietin-related protein 3,Protein,1,Sun BB,HG19/GRCh37,Immune system,,29875488.0,10534735,European,Males and Females,,,0,3301.0,,
ubm-a-581,,,public,2018.0,IDP dMRI TBSS ISOVF Pontine crossing tract,Psychiatric / neurological,1,Elliott LT,HG19/GRCh37,Continuous,,30305740.0,11734354,European,Males,,,0,7532.0,,
ubm-a-268,,,public,2018.0,IDP dMRI TBSS MD Superior corona radiata R,Psychiatric / neurological,1,Elliott LT,HG19/GRCh37,Continuous,,30305740.0,11734354,European,Males,,,0,7532.0,,
prot-a-371,,,public,2018.0,Cerebellin-1,Protein,1,Sun BB,HG19/GRCh37,Immune system,,29875488.0,10534735,European,Males and Females,,,0,3301.0,,
ukb-b-8846,,41249#1002: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,2018.0,Methods of admission to hospital (recoded): Elective admission: Booked,,1,Ben Elsworth,HG19/GRCh37,Binary,MRC-IEU,,9851867,European,Males and Females,,SD,1,462717.0,143561.0,319156.0
prot-a-435,,,public,2018.0,CMRF35-like molecule 2,Protein,1,Sun BB,HG19/GRCh37,Immune system,,29875488.0,10534735,European,Males and Females,,,0,3301.0,,
prot-a-3027,,,public,2018.0,Transmembrane and ubiquitin-like domain-containing protein 2,Protein,1,Sun BB,HG19/GRCh37,Immune system,,29875488.0,10534735,European,Males and Females,,,0,3301.0,,
prot-a-2848,,,public,2018.0,"CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 1",Protein,1,Sun BB,HG19/GRCh37,Immune system,,29875488.0,10534735,European,Males and Females,,,0,3301.0,,
prot-a-1377,,,public,2018.0,Heparan sulfate glucosamine 3-O-sulfotransferase 4,Protein,1,Sun BB,HG19/GRCh37,Immune system,,29875488.0,10534735,European,Males and Females,,,0,3301.0,,
prot-a-526,,,public,2018.0,Glycoprotein hormones alpha chain,Protein,1,Sun BB,HG19/GRCh37,Immune system,,29875488.0,10534735,European,Males and Females,,,0,3301.0,,
ubm-a-3143,,,public,2018.0,netmat ICA 09Aug2017 003,Psychiatric / neurological,1,Elliott LT,HG19/GRCh37,Continuous,,30305740.0,11734354,European,Males,,,0,7916.0,,
ukb-b-13538,,5097: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,2018.0,6mm weak meridian (left),,1,Ben Elsworth,HG19/GRCh37,Continuous,MRC-IEU,,9851867,European,Males and Females,,SD,1,83410.0,,
ubm-a-2634,,,public,2018.0,NET100 1478,Psychiatric / neurological,1,Elliott LT,HG19/GRCh37,Continuous,,30305740.0,11734354,European,Males,,,0,7916.0,,
ubm-a-1001,,,public,2018.0,NET25 0055,Psychiatric / neurological,1,Elliott LT,HG19/GRCh37,Continuous,,30305740.0,11734354,European,Males,,,0,7916.0,,
prot-b-64,,,public,2018.0,endothelial cell specific molecule 1,Protein,1,Folkersen L,HG19/GRCh37,Immune system,,28369058.0,5270646,European,Males and Females,,,0,3394.0,,
ukb-b-13532,,20002#1224: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,2018.0,"Non-cancer illness code, self-reported: thyroid problem (not cancer)",,1,Ben Elsworth,HG19/GRCh37,Binary,MRC-IEU,,9851867,European,Males and Females,,SD,1,462933.0,1210.0,461723.0
ubm-a-1580,,,public,2018.0,NET100 0424,Psychiatric / neurological,1,Elliott LT,HG19/GRCh37,Continuous,,30305740.0,11734354,European,Males,,,0,7916.0,,
ubm-a-1281,,,public,2018.0,NET100 0125,Psychiatric / neurological,1,Elliott LT,HG19/GRCh37,Continuous,,30305740.0,11734354,European,Males,,,0,7916.0,,
ubm-a-224,,,public,2018.0,IDP dMRI TBSS FA Posterior thalamic radiation R,Psychiatric / neurological,1,Elliott LT,HG19/GRCh37,Continuous,,30305740.0,11734354,European,Males,,,0,7532.0,,
ukb-b-16482,,102080: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,2018.0,Yogurt/ice-cream consumers,,1,Ben Elsworth,HG19/GRCh37,Binary,MRC-IEU,,9851867,European,Males and Females,,SD,1,64949.0,26305.0,38644.0
ubm-a-1883,,,public,2018.0,NET100 0727,Psychiatric / neurological,1,Elliott LT,HG19/GRCh37,Continuous,,30305740.0,11734354,European,Males,,,0,7916.0,,
ukb-b-15197,,41230#5L6: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,2018.0,PCT where patients GP was registered: NORTH SURREY PCT,,1,Ben Elsworth,HG19/GRCh37,Binary,MRC-IEU,,9851867,European,Males and Females,,SD,1,463010.0,1152.0,461858.0
ubm-a-706,,,public,2018.0,IDP dMRI ProbtrackX MO str r,Psychiatric / neurological,1,Elliott LT,HG19/GRCh37,Continuous,,30305740.0,11734354,European,Males,,,0,7532.0,,
prot-a-3064,,,public,2018.0,Tumor necrosis factor ligand superfamily member 9,Protein,1,Sun BB,HG19/GRCh37,Immune system,,29875488.0,10534735,European,Males and Females,,,0,3301.0,,
prot-a-720,,,public,2018.0,Cathepsin E,Protein,1,Sun BB,HG19/GRCh37,Immune system,,29875488.0,10534735,European,Males and Females,,,0,3301.0,,
prot-a-2901,,,public,2018.0,Sushi domain-containing protein 1,Protein,1,Sun BB,HG19/GRCh37,Immune system,,29875488.0,10534735,European,Males and Females,,,0,3301.0,,
ubm-a-746,,,public,2018.0,IDP dMRI ProbtrackX L2 fma,Psychiatric / neurological,1,Elliott LT,HG19/GRCh37,Continuous,,30305740.0,11734354,European,Males,,,0,7532.0,,
ubm-a-1510,,,public,2018.0,NET100 0354,Psychiatric / neurological,1,Elliott LT,HG19/GRCh37,Continuous,,30305740.0,11734354,European,Males,,,0,7916.0,,
ukb-b-3241,,41245#1250: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,2018.0,Main speciality of consultant (recoded): Endocrinology,,1,Ben Elsworth,HG19/GRCh37,Binary,MRC-IEU,,9851867,European,Males and Females,,SD,1,461106.0,1929.0,459177.0
ubm-a-3035,,,public,2018.0,DKTatlas rh cuneus thickness,Psychiatric / neurological,1,Elliott LT,HG19/GRCh37,Continuous,,30305740.0,11734354,European,Males,,,0,8411.0,,
ubm-a-3067,,,public,2018.0,a2009s rh G&S paracentral thickness,Psychiatric / neurological,1,Elliott LT,HG19/GRCh37,Continuous,,30305740.0,11734354,European,Males,,,0,8411.0,,
prot-a-2752,,,public,2018.0,Very long-chain acyl-CoA synthetase,Protein,1,Sun BB,HG19/GRCh37,Immune system,,29875488.0,10534735,European,Males and Females,,,0,3301.0,,
ubm-a-676,,,public,2018.0,IDP dMRI ProbtrackX MD slf l,Psychiatric / neurological,1,Elliott LT,HG19/GRCh37,Continuous,,30305740.0,11734354,European,Males,,,0,7532.0,,
ubm-a-902,,,public,2018.0,NODEamps100 0011,Psychiatric / neurological,1,Elliott LT,HG19/GRCh37,Continuous,,30305740.0,11734354,European,Males,,,0,7916.0,,
prot-a-2837,,,public,2018.0,Serine palmitoyltransferase 2,Protein,1,Sun BB,HG19/GRCh37,Immune system,,29875488.0,10534735,European,Males and Females,,,0,3301.0,,
ukb-b-12304,,6157#2: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,2018.0,Why stopped smoking: Doctor's advice,,1,Ben Elsworth,HG19/GRCh37,Binary,MRC-IEU,,9851867,European,Males and Females,,SD,1,113988.0,8184.0,105804.0
ukb-b-8777,,20001#1041: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,2018.0,"Cancer code, self-reported: cervical cancer",,1,Ben Elsworth,HG19/GRCh37,Binary,MRC-IEU,,9851867,European,Males and Females,,SD,1,462933.0,1889.0,461044.0
ieu-a-820,,Family study; effect allele frequencies are missing,public,2007.0,Multiple sclerosis,Autoimmune / inflammatory,1,Hafler DA,HG19/GRCh37,Disease,IMSGC,17660530.0,327095,European,Males and Females,,log odds,2,2793.0,931.0,1862.0
prot-a-1514,,,public,2018.0,Interleukin-24,Protein,1,Sun BB,HG19/GRCh37,Immune system,,29875488.0,10534735,European,Males and Females,,,0,3301.0,,
met-a-473,0.1808128672,,public,2014.0,Dodecanedioate,Lipid,1,Shin,HG19/GRCh37,Metabolites,,24816252.0,2544193,European,Males and Females,,log10 units,1,6478.0,,
met-a-331,0.1072020198,,public,2014.0,Stearate (18:0),Fatty acid,1,Shin,HG19/GRCh37,Metabolites,,24816252.0,2545698,European,Males and Females,,log10 units,1,7803.0,,
ukb-b-1260,,41235: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,2018.0,Spells in hospital,,1,Ben Elsworth,HG19/GRCh37,Categorical Ordered,MRC-IEU,,9851867,European,Males and Females,,SD,1,303963.0,,
ubm-a-1361,,,public,2018.0,NET100 0205,Psychiatric / neurological,1,Elliott LT,HG19/GRCh37,Continuous,,30305740.0,11734354,European,Males,,,0,7916.0,,
ukb-b-13832,,20003#1140923350: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,2018.0,Treatment/medication code: co-dydramol,,1,Ben Elsworth,HG19/GRCh37,Binary,MRC-IEU,,9851867,European,Males and Females,,SD,1,462933.0,2911.0,460022.0
prot-a-192,,,public,2018.0,Asporin,Protein,1,Sun BB,HG19/GRCh37,Immune system,,29875488.0,10534735,European,Males and Females,,,0,3301.0,,
ukb-b-4725,,20002#1457: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,2018.0,"Non-cancer illness code, self-reported: duodenal ulcer",,1,Ben Elsworth,HG19/GRCh37,Binary,MRC-IEU,,9851867,European,Males and Females,,SD,1,462933.0,1908.0,461025.0
ubm-a-236,,,public,2018.0,IDP dMRI TBSS FA Superior longitudinal fasciculus R,Psychiatric / neurological,1,Elliott LT,HG19/GRCh37,Continuous,,30305740.0,11734354,European,Males,,,0,7532.0,,
ubm-a-3134,,,public,2018.0,a2009s rh S suborbital thickness,Psychiatric / neurological,1,Elliott LT,HG19/GRCh37,Continuous,,30305740.0,11734354,European,Males,,,0,8411.0,,
prot-a-381,,,public,2018.0,Coiled-coil domain-containing protein 134,Protein,1,Sun BB,HG19/GRCh37,Immune system,,29875488.0,10534735,European,Males and Females,,,0,3301.0,,
ubm-a-2725,,,public,2018.0,DKTatlas lh lingual area,Psychiatric / neurological,1,Elliott LT,HG19/GRCh37,Continuous,,30305740.0,11734354,European,Males,,,0,8411.0,,
ubm-a-1364,,,public,2018.0,NET100 0208,Psychiatric / neurological,1,Elliott LT,HG19/GRCh37,Continuous,,30305740.0,11734354,European,Males,,,0,7916.0,,
ubm-a-882,,,public,2018.0,NODEamps25 0012,Psychiatric / neurological,1,Elliott LT,HG19/GRCh37,Continuous,,30305740.0,11734354,European,Males,,,0,7916.0,,
prot-a-2208,,,public,2018.0,Proliferating cell nuclear antigen,Protein,1,Sun BB,HG19/GRCh37,Immune system,,29875488.0,10534735,European,Males and Females,,,0,3301.0,,
ukb-b-20162,,41202#R33: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,2018.0,Diagnoses - main ICD10: R33 Retention of urine,,1,Ben Elsworth,HG19/GRCh37,Binary,MRC-IEU,,9851867,European,Males and Females,,SD,1,463010.0,2106.0,460904.0
ebi-a-GCST003839,,,public,2016.0,Sleep duration,,1,Jones SE,HG19/GRCh37,,,27494321.0,16570056,European,,,,0,127573.0,,
ukb-b-4843,,20088#350: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,2018.0,Types of spreads/sauces consumed: Other sauce,,1,Ben Elsworth,HG19/GRCh37,Binary,MRC-IEU,,9851867,European,Males and Females,,SD,1,64949.0,2930.0,62019.0
ubm-a-1306,,,public,2018.0,NET100 0150,Psychiatric / neurological,1,Elliott LT,HG19/GRCh37,Continuous,,30305740.0,11734354,European,Males,,,0,7916.0,,
ubm-a-571,,,public,2018.0,IDP dMRI TBSS OD Fornix cres+Stria terminalis L,Psychiatric / neurological,1,Elliott LT,HG19/GRCh37,Continuous,,30305740.0,11734354,European,Males,,,0,7532.0,,
ubm-a-26,,,public,2018.0,IDP T1 FAST ROIs L frontal pole,Psychiatric / neurological,1,Elliott LT,HG19/GRCh37,Continuous,,30305740.0,11734354,European,Males,,,0,8427.0,,
ukb-b-11465,,6147#5: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,2018.0,Reason for glasses/contact lenses: For a 'squint' or 'turn' in an eye since childhood (called 'strabismus'),,1,Ben Elsworth,HG19/GRCh37,Binary,MRC-IEU,,9851867,European,Males and Females,,SD,1,460536.0,1962.0,458574.0
prot-a-2760,,,public,2018.0,Sodium-coupled monocarboxylate transporter 1,Protein,1,Sun BB,HG19/GRCh37,Immune system,,29875488.0,10534735,European,Males and Females,,,0,3301.0,,
ubm-a-1499,,,public,2018.0,NET100 0343,Psychiatric / neurological,1,Elliott LT,HG19/GRCh37,Continuous,,30305740.0,11734354,European,Males,,,0,7916.0,,
ubm-a-1250,,,public,2018.0,NET100 0094,Psychiatric / neurological,1,Elliott LT,HG19/GRCh37,Continuous,,30305740.0,11734354,European,Males,,,0,7916.0,,
ieu-a-1164,,,public,2015.0,ER+ Breast cancer (Survival),Cancer,1,Guo Q,HG19/GRCh37,Disease,BCAC,25890600.0,8714606,European,Females,,log(Hazard ratio),1,23059.0,1333.0,21726.0
prot-a-1452,,,public,2018.0,Insulin-like growth factor-binding protein-like 1,Protein,1,Sun BB,HG19/GRCh37,Immune system,,29875488.0,10534735,European,Males and Females,,,0,3301.0,,
prot-a-2192,,,public,2018.0,Pterin-4-alpha-carbinolamine dehydratase 2,Protein,1,Sun BB,HG19/GRCh37,Immune system,,29875488.0,10534735,European,Males and Females,,,0,3301.0,,
prot-a-1510,,,public,2018.0,Interleukin-22 receptor subunit alpha-2,Protein,1,Sun BB,HG19/GRCh37,Immune system,,29875488.0,10534735,European,Males and Females,,,0,3301.0,,
ubm-a-757,,,public,2018.0,IDP dMRI ProbtrackX L2 slf l,Psychiatric / neurological,1,Elliott LT,HG19/GRCh37,Continuous,,30305740.0,11734354,European,Males,,,0,7532.0,,
ubm-a-1174,,,public,2018.0,NET100 0018,Psychiatric / neurological,1,Elliott LT,HG19/GRCh37,Continuous,,30305740.0,11734354,European,Males,,,0,7916.0,,
ukb-a-534,,,public,2017.0,Diagnoses - main ICD10: I25 Chronic ischaemic heart disease,,1,Neale,HG19/GRCh37,,Neale Lab,,10894596,European,Males and Females,,SD,1,337199.0,8755.0,328444.0
prot-a-1457,,,public,2018.0,Immunoglobulin J chain,Protein,1,Sun BB,HG19/GRCh37,Immune system,,29875488.0,10534735,European,Males and Females,,,0,3301.0,,
prot-a-439,,,public,2018.0,Myeloid cell surface antigen CD33,Protein,1,Sun BB,HG19/GRCh37,Immune system,,29875488.0,10534735,European,Males and Females,,,0,3301.0,,
ubm-a-2098,,,public,2018.0,NET100 0942,Psychiatric / neurological,1,Elliott LT,HG19/GRCh37,Continuous,,30305740.0,11734354,European,Males,,,0,7916.0,,
ubm-a-366,,,public,2018.0,IDP dMRI TBSS L1 Posterior corona radiata R,Psychiatric / neurological,1,Elliott LT,HG19/GRCh37,Continuous,,30305740.0,11734354,European,Males,,,0,7532.0,,
ubm-a-210,,,public,2018.0,IDP dMRI TBSS FA Cerebral peduncle R,Psychiatric / neurological,1,Elliott LT,HG19/GRCh37,Continuous,,30305740.0,11734354,European,Males,,,0,7532.0,,
ukb-b-8024,,41230#5H2: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,2018.0,PCT where patients GP was registered: BIRKENHEAD AND WALLASEY PCT,,1,Ben Elsworth,HG19/GRCh37,Binary,MRC-IEU,,9851867,European,Males and Females,,SD,1,463010.0,1663.0,461347.0
ukb-a-5,,,public,2017.0,Time spent watching television (TV),,1,Neale,HG19/GRCh37,,Neale Lab,,10894596,European,Males and Females,,SD,1,319740.0,,
ukb-b-16499,,20002#1387: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,2018.0,"Non-cancer illness code, self-reported: hayfever/allergic rhinitis",,1,Ben Elsworth,HG19/GRCh37,Binary,MRC-IEU,,9851867,European,Males and Females,,SD,1,462933.0,26107.0,436826.0
ukb-b-11866,,5251: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,2018.0,6mm index of best keratometry results (right),,1,Ben Elsworth,HG19/GRCh37,Categorical Ordered,MRC-IEU,,9851867,European,Males and Females,,SD,1,84303.0,,
ukb-b-3923,,41200#F021: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,2018.0,Operative procedures - main OPCS: F02.1 Excision of lesion of lip,,1,Ben Elsworth,HG19/GRCh37,Binary,MRC-IEU,,9851867,European,Males and Females,,SD,1,463010.0,1194.0,461816.0
ieu-a-1063,100.47,Metric of information processing speed,public,2011.0,8-choice reaction time,Psychiatric / neurological,1,Luciano,HG19/GRCh37,Risk factor,,21130836.0,2383239,European,Males and Females,,SD (milliseconds),1,1382.0,,
ubm-a-818,,,public,2018.0,IDP dMRI ProbtrackX OD ar r,Psychiatric / neurological,1,Elliott LT,HG19/GRCh37,Continuous,,30305740.0,11734354,European,Males,,,0,7532.0,,
prot-a-1583,,,public,2018.0,Integrin alpha-L,Protein,1,Sun BB,HG19/GRCh37,Immune system,,29875488.0,10534735,European,Males and Females,,,0,3301.0,,
prot-a-1246,,,public,2018.0,Glypican-3,Protein,1,Sun BB,HG19/GRCh37,Immune system,,29875488.0,10534735,European,Males and Females,,,0,3301.0,,
ukb-b-4526,,5113: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,2018.0,6mm cylindrical power angle (left),,1,Ben Elsworth,HG19/GRCh37,Continuous,MRC-IEU,,9851867,European,Males and Females,,SD,1,83387.0,,
prot-b-28,,,public,2018.0,prolactin,Protein,1,Folkersen L,HG19/GRCh37,Immune system,,28369058.0,5270646,European,Males and Females,,,0,3394.0,,
ukb-b-657,,20004#1510: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,2018.0,Operation code: dilatation and curettage/d+c,,1,Ben Elsworth,HG19/GRCh37,Binary,MRC-IEU,,9851867,European,Males and Females,,SD,1,462933.0,26145.0,436788.0
ebi-a-GCST006701,,,public,2017.0,Parental longevity (father's attained age),,1,Pilling LC,HG19/GRCh37,,,29227965.0,11489837,European,,,,0,415311.0,,
ukb-b-2341,,20090#359: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,2018.0,Type of fat/oil used in cooking: Butter,,1,Ben Elsworth,HG19/GRCh37,Binary,MRC-IEU,,9851867,European,Males and Females,,SD,1,64949.0,8360.0,56589.0
ubm-a-368,,,public,2018.0,IDP dMRI TBSS L1 Posterior thalamic radiation R,Psychiatric / neurological,1,Elliott LT,HG19/GRCh37,Continuous,,30305740.0,11734354,European,Males,,,0,7532.0,,
prot-a-1707,,,public,2018.0,Epididymal-specific lipocalin-10,Protein,1,Sun BB,HG19/GRCh37,Immune system,,29875488.0,10534735,European,Males and Females,,,0,3301.0,,
ukb-b-93,,41210#T873: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,2018.0,Operative procedures - secondary OPCS: T87.3 Excision or biopsy of axillary lymph node,,1,Ben Elsworth,HG19/GRCh37,Binary,MRC-IEU,,9851867,European,Males and Females,,SD,1,463010.0,1503.0,461507.0
ukb-b-15601,,104140: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,2018.0,Broccoli intake,,1,Ben Elsworth,HG19/GRCh37,Categorical Ordered,MRC-IEU,,9851867,European,Males and Females,,SD,1,64949.0,,
ubm-a-2340,,,public,2018.0,NET100 1184,Psychiatric / neurological,1,Elliott LT,HG19/GRCh37,Continuous,,30305740.0,11734354,European,Males,,,0,7916.0,,
ieu-a-1284,,,public,2018.0,Estimated glomerular filtration rate (eGFR),,1,Kanai,HG19/GRCh37,Risk factor,Biobank Japan Project,29403010.0,5961601,East Asian,Males and Females,,,1,143658.0,,
ubm-a-2414,,,public,2018.0,NET100 1258,Psychiatric / neurological,1,Elliott LT,HG19/GRCh37,Continuous,,30305740.0,11734354,European,Males,,,0,7916.0,,
prot-a-2322,,,public,2018.0,DNA polymerase iota,Protein,1,Sun BB,HG19/GRCh37,Immune system,,29875488.0,10534735,European,Males and Females,,,0,3301.0,,
prot-a-1286,,,public,2018.0,Glutathione S-transferase kappa 1,Protein,1,Sun BB,HG19/GRCh37,Immune system,,29875488.0,10534735,European,Males and Females,,,0,3301.0,,
ubm-a-726,,,public,2018.0,IDP dMRI ProbtrackX L1 ml l,Psychiatric / neurological,1,Elliott LT,HG19/GRCh37,Continuous,,30305740.0,11734354,European,Males,,,0,7532.0,,
ubm-a-1641,,,public,2018.0,NET100 0485,Psychiatric / neurological,1,Elliott LT,HG19/GRCh37,Continuous,,30305740.0,11734354,European,Males,,,0,7916.0,,
ukb-b-6019,,2887: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,2018.0,Number of cigarettes previously smoked daily,,1,Ben Elsworth,HG19/GRCh37,Categorical Ordered,MRC-IEU,,9851867,European,Males and Females,,SD,1,108946.0,,
ieu-a-1132,,,public,2017.0,ER+ Breast cancer (Oncoarray),Cancer,1,Michailidou K,HG19/GRCh37,Disease,BCAC,29059683.0,10680257,European,Females,,log odds,1,83691.0,38197.0,45494.0
ukb-b-17772,,5114: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,2018.0,6mm cylindrical power angle (right),,1,Ben Elsworth,HG19/GRCh37,Continuous,MRC-IEU,,9851867,European,Males and Females,,SD,1,84278.0,,
prot-a-2538,,,public,2018.0,Regulator of G-protein signaling 8,Protein,1,Sun BB,HG19/GRCh37,Immune system,,29875488.0,10534735,European,Males and Females,,,0,3301.0,,
prot-a-1533,,,public,2018.0,Interleukin-4 receptor subunit alpha,Protein,1,Sun BB,HG19/GRCh37,Immune system,,29875488.0,10534735,European,Males and Females,,,0,3301.0,,
